,Word,Frequency,tf_idf
3235,suspect,81,0.00016758754594354137
3259,canceled,80,0.0001675016480818637
3319,badamo,78,0.00016732612953140552
3238,5pm,81,0.00016726818420767037
3233,lamp,81,0.00016726818420767037
3242,reached,81,0.00016726818420767037
3230,tear,81,0.00016726818420767037
3231,thanked,81,0.00016726818420767037
3257,graduation,80,0.0001671597595267862
3244,limit,81,0.00016695289088491388
3227,yep,81,0.00016695289088491388
3243,fear,81,0.00016695289088491388
3241,baseball,81,0.00016695289088491388
3247,designed,81,0.00016695289088491388
3255,applied,80,0.00016682258682649547
3261,sourdough,80,0.00016682258682649547
3236,rolling,81,0.00016664156362115577
3234,caused,81,0.00016664156362115577
3245,raise,81,0.00016664156362115577
3301,walleye,78,0.0001665446327192322
3289,popcorn,78,0.00016616328830564906
3338,baba,77,0.0001659785570761982
3262,10pm,80,0.00016583810613407827
3256,wasting,80,0.00016583810613407827
3270,co,80,0.00016583810613407827
3451,mahi,73,0.00016564428992310912
3268,vintage,80,0.00016551856389485567
3275,refunded,80,0.00016551856389485567
3265,outdated,80,0.00016551856389485567
3260,criticism,80,0.00016551856389485567
3286,booked,79,0.0001654078774808404
3273,inquired,80,0.00016520314489646456
3267,thinly,80,0.00016520314489646456
3272,adore,80,0.00016520314489646456
3251,relative,80,0.00016520314489646456
3334,cello,77,0.00016518092274254133
3280,cuz,79,0.00016507026253270138
3281,strongsville,79,0.00016507026253270138
3307,baklava,78,0.00016505455270444805
3249,remains,80,0.00016489174408386556
3250,equivalent,80,0.00016489174408386556
3253,clueless,80,0.00016489174408386556
3258,intended,80,0.00016489174408386556
3263,complement,80,0.00016489174408386556
3269,loving,80,0.00016489174408386556
3271,mid,80,0.00016489174408386556
3302,mango,78,0.00016469614719290618
3254,bubbly,80,0.00016458426036657358
3274,operated,80,0.00016458426036657358
3464,molly,72,0.00016450365125190294
3305,sriracha,78,0.00016434305158834426
3411,uzbek,74,0.0001642669096221604
3386,sarita,75,0.00016416992882265248
3288,decadent,79,0.00016408485733323617
3303,extreme,78,0.00016399511084859775
3317,lorain,78,0.00016399511084859775
3468,kay,72,0.0001639321861380506
3362,perch,76,0.00016382299139988392
3308,marcos,78,0.00016365217662444174
